cct,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32DPR0446G,13,13,18,16,13,16,16,12,11,11,11,12,14,13,15,17,16,17,10,14,10,11
32DPR0865R,11,16,11,15,15,15,16,13,13,9,14,13,20,15,14,16,13,15,14,16,16,11
32DPR1349L,17,16,15,15,15,16,0,16,17,19,20,19,12,19,21,20,9,10,9,10,12,12
32DPR1433J,27,22,21,18,18,16,15,14,15,14,13,14,13,12,12,14,11,16,14,13,12,14
32DPR2348T,25,29,30,17,15,18,15,13,12,12,14,14,12,12,14,15,15,12,11,11,11,11
32DPR2339L,15,16,14,25,20,20,17,17,20,14,12,13,12,16,17,18,16,13,14,11,12,8
32DPR1469Y,32,21,20,21,20,17,16,15,18,13,13,12,13,15,13,13,12,15,16,13,10,7
32DPR2329E,20,18,14,14,16,20,22,23,19,14,15,15,18,15,14,14,15,15,13,11,10,12
32DPR0102M,21,20,17,18,18,16,15,16,15,14,15,14,13,14,16,17,15,12,16,15,15,15
32DPR1407L,20,22,21,19,19,18,19,15,16,15,17,18,18,14,15,14,13,13,12,12,11,8
32DPR1107O,18,16,18,21,22,18,17,15,16,15,16,16,16,19,17,17,18,15,10,12,11,11
32DPR0889A,17,20,16,18,16,18,16,15,17,16,16,15,16,16,15,13,13,15,16,18,21,15
32DPR1247O,29,26,26,17,19,15,15,17,18,16,13,13,13,13,17,15,16,15,14,13,12,8
32DPR1943L,23,20,18,16,19,18,17,18,21,20,16,14,18,18,15,14,13,10,10,14,13,16
32DPR0677Y,24,26,26,21,17,16,14,15,12,12,15,13,13,14,17,18,14,13,12,14,18,17
32DPR0101N,20,20,16,15,15,15,16,15,14,18,17,16,16,19,21,15,15,18,15,14,14,19
32DPR0807A,28,29,24,19,19,18,19,16,13,16,15,10,11,10,14,16,16,19,16,14,12,13
32DPR0697L,31,25,20,15,18,16,15,15,15,15,15,15,14,13,14,15,17,18,16,18,14,14
32DPR0619H,13,20,22,16,15,16,19,16,16,15,22,17,18,15,23,22,16,12,15,13,15,13
32DPR1736D,23,19,16,15,14,15,18,18,15,14,13,15,17,20,25,23,19,16,14,14,13,16
32DPR1086S,17,14,18,19,16,15,19,16,15,20,18,16,17,17,21,19,17,17,15,16,14,17
32DPR2415A,19,18,18,16,16,18,18,15,15,15,13,14,14,20,22,15,14,18,21,19,17,18
32DPR0087K,27,27,17,17,19,16,16,15,18,17,18,17,16,14,14,18,14,16,14,12,15,20
32DPR1392Z,23,21,24,21,18,15,15,18,16,20,19,21,18,20,14,17,15,16,10,13,13,11
32DPR0242M,40,31,25,19,15,15,14,12,14,13,12,10,11,19,16,16,18,16,15,16,15,16
32DPR1356V,20,19,16,15,15,15,16,16,15,17,13,15,22,15,16,15,18,18,14,21,22,26
32DPR1126C,18,17,18,14,15,15,17,20,19,22,19,15,13,21,17,18,16,16,21,13,17,18
32DPR0577Z,29,27,22,22,18,16,13,16,13,15,15,13,14,15,16,16,19,19,18,16,15,13
32EPR0168U,20,19,20,19,18,18,14,15,15,15,15,18,17,27,22,21,16,17,18,12,14,14
32DPR1714S,21,21,19,20,18,17,17,18,19,19,17,15,15,17,16,16,18,17,17,16,17,14
32DPR0448E,34,39,24,18,18,19,16,16,15,16,17,17,15,12,12,11,14,13,13,12,15,19
32DPR1001V,34,30,22,24,18,16,15,15,15,16,16,17,16,12,14,12,12,12,16,19,19,15
32DPR0337Z,18,16,16,17,15,14,13,8,12,15,27,24,22,20,21,15,19,20,20,23,18,14
32DPR2336O,0,20,20,20,15,16,14,14,15,13,15,19,11,18,31,18,25,29,19,22,14,19
32DPR1036K,26,25,21,18,20,19,17,16,16,18,15,21,8,19,22,19,16,15,13,13,14,17
32DPR1789I,12,19,18,16,16,19,10,14,15,34,11,13,13,11,20,24,22,22,18,17,23,22
32DPR2283Z,23,15,15,16,16,18,18,20,16,16,27,21,3,16,15,16,18,22,17,20,21,21
32DPR2437M,16,12,22,17,16,17,21,22,16,14,19,18,17,19,18,20,18,18,18,20,18,15
32DPR1340U,25,25,23,20,19,17,19,16,15,16,18,21,20,23,24,20,16,13,13,8,8,12
32DPR1690Z,16,15,24,22,19,15,14,13,13,15,15,23,7,25,19,18,20,21,16,17,20,24
32DPR1424B,21,24,28,21,16,18,17,18,16,18,21,19,17,13,15,20,19,18,15,16,11,11
32DPR1044T,26,25,24,23,16,15,13,15,15,16,18,16,17,17,17,16,18,17,14,20,18,17
32DPR1531K,18,19,21,25,23,21,18,16,21,20,17,23,21,21,15,15,15,15,14,15,12,9
32DPR0237A,19,15,19,23,19,17,20,21,18,19,21,21,19,16,20,17,17,15,17,18,14,10
32DPR1755S,29,25,17,24,19,16,16,13,16,14,15,16,15,16,21,20,18,18,17,18,17,17
32DPR0955J,14,17,19,21,23,22,22,22,18,16,18,19,18,19,21,18,17,14,13,16,14,16
32DPR1243S,23,24,30,23,16,16,16,21,20,24,20,17,19,16,14,16,16,15,14,10,14,14
32DPR2454C,0,20,23,20,19,21,25,16,14,23,23,18,17,18,20,16,20,19,16,13,15,22
32DPR0602H,22,22,19,15,15,17,15,15,12,15,16,16,12,15,19,23,25,21,22,23,20,20
32DPR1230O,30,21,21,17,15,13,16,17,21,22,22,24,20,22,18,17,15,16,12,11,16,14
32DPR0586G,30,32,30,25,23,19,19,15,14,16,14,16,15,15,16,15,16,14,13,15,17,13
32DPR0824R,29,29,26,25,21,21,18,14,16,15,16,18,17,14,16,15,18,16,16,14,16,13
32DPR0700I,34,29,28,17,17,19,19,14,15,17,16,15,15,20,17,19,18,16,20,13,15,12
32DPR0439X,18,17,16,17,17,17,21,20,21,20,17,14,11,23,16,15,20,20,20,20,24,22
32DPR0858H,42,42,25,22,17,17,15,15,15,15,14,15,14,16,15,18,15,18,16,13,14,15
32DPR2421L,24,23,27,22,22,24,22,17,15,16,18,18,17,16,16,17,17,16,16,17,14,15
32DPR0342L,37,31,21,21,18,20,17,18,21,15,16,15,18,19,13,16,15,15,18,15,14,16
32DPR0324W,31,31,29,30,17,15,15,15,16,17,20,15,16,16,16,13,14,18,17,17,15,18
32DPR1847I,11,18,12,15,26,26,24,20,18,23,22,18,20,24,22,19,17,16,16,14,16,15
32DPR1575H,29,30,21,21,15,20,20,21,15,14,15,15,15,12,12,15,18,17,22,23,22,21
32DPR1512W,29,31,25,24,23,15,22,16,16,13,13,23,8,21,22,15,16,17,17,17,17,13
32DPR1227A,30,24,23,18,16,16,16,15,12,18,20,19,14,16,19,18,20,21,22,24,19,14
32DPR1901M,28,27,23,26,26,18,17,15,17,15,13,15,14,20,17,16,16,17,20,17,20,18
32DPR0666S,34,30,21,15,17,17,16,21,17,16,17,16,17,19,21,17,20,19,15,19,16,16
32DPR0457M,21,20,19,19,16,19,18,25,20,19,15,14,21,17,16,16,15,22,25,23,18,19
32DPR0294S,31,31,34,33,27,21,14,17,20,14,12,15,15,16,12,17,17,17,17,14,13,10
32DPR1061J,32,27,23,19,18,16,20,23,23,22,20,17,18,22,16,14,15,18,13,13,14,15
32DPR0287I,29,24,26,25,20,18,21,22,23,20,21,18,24,15,16,11,11,15,16,17,15,11
32DPR1635F,28,25,21,25,22,20,22,16,16,18,17,19,21,23,19,19,14,11,19,13,19,11
32DPR0030J,33,34,27,24,24,19,21,19,18,16,17,17,15,17,14,16,14,13,15,16,15,14
32DPR1202S,34,33,29,26,22,18,21,17,17,16,16,13,15,21,17,18,16,16,15,15,14,11
32DPR1508J,21,19,18,14,14,16,15,15,16,19,17,21,21,23,22,15,19,22,21,22,23,27
32DPR1198W,28,20,16,15,16,15,16,15,16,16,16,19,20,20,22,22,20,21,22,21,23,21
32DPR0271H,24,23,26,35,20,21,24,22,22,18,19,16,17,18,13,17,18,20,14,10,11,12
32DPR0703F,42,41,33,19,15,16,15,15,16,17,17,15,15,14,16,21,20,15,19,14,14,14
32DPR0480N,25,32,22,18,20,16,19,22,17,15,14,15,16,17,15,16,19,20,25,20,20,20
32DPR1059V,31,34,20,28,27,25,23,21,17,16,16,14,12,17,16,15,18,18,18,15,13,9
