cct,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32DPR1113Z,3,-11,-9,-11,-3,4,-5,9,-3,12,3,4,-20,-9,-4,-1,3,2,10,9,-4
32DPR2449R,8,56,-18,16,-8,12,1,0,29,32,-9,16,6,27,-2,3,24,-15,17,-3,19
32DPR0157P,-7,10,6,-15,-9,-6,-14,-11,-2,3,-6,0,11,4,1,-1,12,7,0,-6,8
32DPR1029A,-8,-9,-1,-5,-1,1,-2,-4,3,-2,-2,-2,11,-1,-11,5,2,4,-5,-4,4
32DPR0242M,-9,-6,-6,-4,0,0,-3,2,-1,-1,-2,0,9,-3,0,2,-2,-1,1,-1,1
32EPR0077C,1,25,-13,-24,-11,17,5,23,20,33,-19,23,8,-6,-10,-4,-8,-25,9,-31,1
32DPR1682Q,1,-1,-11,3,0,2,-15,-1,1,-1,4,0,-3,-2,-3,-2,3,5,-6,1,1
32DPR1004S,-6,7,7,-4,3,-1,0,-2,-9,1,-10,-3,-3,6,-2,-2,3,4,-5,-4,1
32DPR0376B,8,-5,-26,-2,1,8,-3,1,-5,7,8,8,-7,1,5,-3,3,2,-10,-2,-1
32DPR2426G,4,-4,4,-3,1,-2,-5,0,2,0,1,1,0,0,-4,0,2,-4,3,-1,1
32DPR0134E,-11,7,12,4,18,0,3,-9,-1,0,-2,-3,0,-3,-12,2,-6,2,-3,6,8
32DPR1573J,-3,-12,0,-11,-1,-3,-5,-2,1,0,2,0,2,1,-4,1,7,6,-2,-1,2
32DPR1488M,13,1,4,-1,-8,-22,1,4,0,-1,7,-1,-12,-3,-7,-4,-1,0,6,-6,5
32DPR0024Z,0,3,1,-2,-1,-2,4,-4,11,6,-1,5,-12,-5,-5,-9,-4,7,3,-4,-2
32DPR0460Z,4,1,16,-21,-3,-3,-2,-17,-6,10,9,9,-10,-7,-3,-3,8,3,-3,-2,17
32DPR1246P,-27,-13,2,-11,-6,3,-5,1,9,6,-8,2,6,-5,1,-3,-6,-3,2,2,-11
32DPR1331M,-5,-4,-1,0,-14,-7,2,-2,-12,-4,0,-6,2,3,4,-4,-2,-2,3,-2,-1
32DPR0156Q,5,-3,-9,-4,-3,-3,-5,1,4,-2,-5,-1,-1,3,-10,-4,-2,-1,1,-1,-1
32DPR1379F,-1,-2,6,-5,1,1,-2,-1,0,2,0,1,2,2,-1,-4,7,-6,-7,-1,1
32EPR0053T,1,-12,8,0,-13,8,24,3,16,21,1,18,-35,2,1,-10,-13,8,-12,44,9
32DPR1137I,-9,-4,2,-1,-1,-1,-13,2,1,-1,-4,-3,3,2,1,0,-1,-3,7,-9,2
32DPR1222F,0,-29,6,-21,3,19,-5,3,-8,1,-19,-6,6,31,3,37,28,13,18,35,-8
32DPR0132G,0,2,9,-3,4,-4,0,1,-4,-1,-3,-2,-4,3,3,-1,5,-4,-1,-2,-1
32DPR0047J,21,-5,2,-30,28,34,-13,0,7,41,-9,16,-53,0,1,27,8,27,11,9,-5
32DPR1112Z,-2,-2,-5,1,-3,0,0,0,1,-2,-5,-5,11,7,3,7,7,11,16,-4,0
32DPR2317Z,-3,5,1,-2,-3,2,-8,3,2,1,5,1,0,2,-5,-3,-1,-6,0,-2,-2
32DPR0398N,-21,-3,-1,-8,1,5,16,10,-12,9,0,-2,18,7,-1,-1,1,5,-5,4,12
32DPR0483K,2,8,31,7,13,17,-3,25,-1,-2,-9,-9,-1,-21,4,15,5,-10,-7,1,0
32DPR1028B,-3,-6,7,-11,1,-1,-1,-1,3,2,-3,0,2,6,0,-3,0,-1,1,-6,3
32DPR0375C,3,1,10,-13,-23,-11,-3,-2,-3,22,-4,9,13,-7,2,-24,16,4,-6,24,-17
32DPR2427F,0,1,6,-4,-6,5,0,13,4,4,13,4,6,-1,3,4,8,-1,11,-2,-10
32DPR1245Q,-11,-29,-5,10,23,4,-13,8,-7,19,-6,8,-11,16,4,3,-9,29,-1,14,-4
32DPR1330N,-2,-10,-3,1,2,-4,-10,-2,0,0,-13,0,7,5,-1,2,0,0,7,-4,-4
32EPR0078B,-10,-24,-18,-18,-1,-4,3,20,-14,-5,11,-3,4,-11,-17,-18,-11,-9,13,1,10
32DPR0133F,-12,5,3,-4,0,4,1,1,-1,0,0,0,0,-6,-4,2,1,-3,-3,1,5
32DPR1269Z,3,-8,8,1,3,0,3,-3,-6,2,1,-3,-4,10,0,-4,-1,-18,1,0,5
32DPR1596U,-3,-12,3,-2,-3,-2,-1,-1,1,2,3,3,1,-6,2,-6,-2,0,-2,2,-2
32DPR1136J,-30,-8,1,-8,4,-10,11,-7,17,7,-8,5,-7,6,-11,6,-4,-7,5,-15,-9
32DPR0023Z,-3,1,5,-8,-2,-3,-1,-3,0,-4,-7,-7,15,-6,-5,0,0,2,6,2,3
