cct,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32DJN1097H,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,2,3,3,1,1,1,1
32EJN0522E,3,3,3,4,4,4,4,4,4,4,4,4,4,6,6,6,6,7,6,6,6,6
32EJN0437H,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0181Z,5,5,4,5,5,5,5,6,6,6,6,7,7,7,7,6,7,8,7,6,6,6
32DJN0097A,6,7,6,6,7,7,7,7,7,7,7,7,7,8,7,7,7,8,8,7,7,7
32DJN0518T,3,2,2,2,3,3,3,3,2,2,2,3,3,3,2,3,3,3,1,2,2,2
32DJN0603Q,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2
32DJN1076V,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0602R,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,1,1,1,1
32DJN0517U,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,2,3,3,2,2,2,2
32EJN0545P,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0290F,2,3,3,2,2,3,3,3,3,3,3,2,2,3,3,2,3,2,1,1,1,2
32DJN1052L,3,3,2,3,3,2,2,2,3,2,2,3,3,3,3,3,3,3,1,1,1,1
32EJN0569Z,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32EJN0328A,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0072S,10,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
32EJN0412Z,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32DJN0071T,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,5,5,5,5
32EJN0438G,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN1185B,3,3,3,3,3,2,3,2,2,2,2,2,2,2,3,3,2,2,1,1,1,1
32EJN0547N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
32DJN0180Z,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0408N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32EJN0305Q,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,1,1,1,1
32DJN0096B,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
32DJN1160T,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1075W,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32DJN0601S,4,4,4,3,3,4,4,5,5,4,4,4,4,5,5,7,6,6,6,6,6,6
32EJN0304R,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN1272X,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3
32DJN1609R,3,2,3,3,3,2,2,2,3,2,3,2,2,3,2,2,2,2,1,1,1,1
32DJN0626A,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
32DJN1297F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1605V,2,3,3,3,3,2,3,3,3,3,2,2,2,2,2,3,3,3,1,1,1,1
32DJN0183X,4,4,4,4,4,4,5,5,5,4,4,5,5,6,5,6,5,5,5,5,5,6
32DJN0098Z,4,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1293J,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32EJN0439F,5,6,6,6,6,6,7,6,6,6,5,5,5,7,7,6,6,7,6,6,7,6
32EJN0524C,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
32DJN0605O,3,3,3,2,3,3,2,3,3,2,3,2,2,2,2,2,3,3,1,1,1,1
32DJN1030Z,2,2,3,3,3,3,3,2,3,3,2,3,3,3,2,2,2,3,1,1,1,1
32DJN0293C,3,3,3,3,3,4,2,3,2,2,3,2,2,3,4,4,3,3,3,3,3,3
32EJN0306P,4,4,3,4,3,2,3,4,4,2,4,4,4,3,4,3,3,3,3,3,3,3
32EJN0548M,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0050G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
32DJN0292D,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
32DJN1163Q,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,1,1,1,1
32DJN1078T,3,2,3,3,2,2,2,2,3,3,2,3,3,3,3,2,2,2,1,1,1,1
32EJN0329Z,3,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0628Z,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
32DJN0074Q,5,5,5,5,5,5,6,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5
32DJN1606U,1,2,3,2,3,3,3,3,3,3,2,2,2,3,3,3,2,3,1,1,1,1
32EJN0525B,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,4,4,4,4
32DJN0182Y,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1294I,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32EJN0307O,3,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,2,2,2,2
